PITSUL;MIMSAT;CARPLA;VENMIX;COLMEL;SYRSIB;MILCHI;ZONCAP;ARACAJ;MYIMON;FURRUF;SCIFLA;PATMAC;PATPIC;PSEVIR;MACRIX;VANCHI;ZENAUR;AGEBAD;LEPVER;TURAMA;TURRUF;ESFUERZO;PUNTO;ZONA;ETAPA 
0;0;0;0;0;0;0;0;3;17;0;0;1;28;0;0;0;3;0;1;0;1;176;SNE;Baja;PRE
0;0;4;0;1;0;0;3;1;32;1;0;1;6;1;0;0;1;0;0;0;1;200.2;SNE;Baja;POST21
2;5;0;0;1;0;1;1;0;22;18;0;5;14;0;1;0;9;0;3;0;17;167.2;CP;Alta;PRE
5;3;2;0;0;0;3;2;1;27;9;3;1;13;0;4;0;13;0;3;1;19;200;CP;Alta;POST21
5;9;1;0;0;3;1;0;0;67;10;0;1;47;20;1;17;11;0;0;1;0;167.2;PS;Media;PRE
6;3;10;0;0;1;13;0;1;37;7;3;1;20;23;2;23;12;1;2;0;4;192.4;PS;Media;POST21
0;0;3;0;0;2;0;0;0;22;0;0;0;25;0;0;25;15;0;0;0;6;165;PN;Media;PRE
1;0;4;0;0;2;7;0;0;32;0;0;3;16;0;0;7;9;0;11;2;0;192.4;PN;Media;POST21
1;0;4;0;3;0;1;2;0;7;0;0;0;21;0;0;5;19;0;0;2;0;165;AG;Baja;PRE
3;0;8;0;0;0;2;0;0;60;0;1;6;37;2;0;0;30;0;7;0;1;213;AG;Baja;POST21
2;0;1;0;0;0;1;0;0;19;0;0;0;18;0;0;0;13;0;0;0;2;167.2;ACH;Media;PRE
3;0;1;0;0;0;1;0;0;50;0;1;0;14;1;0;0;15;0;0;0;1;189.8;ACH;Media;POST21
3;0;1;0;1;1;0;0;4;39;1;0;0;25;0;0;0;10;0;2;1;11;176;COT;Media;PRE
0;0;2;0;0;0;4;0;1;90;2;0;0;7;0;0;0;23;0;2;5;18;192.4;COT;Media;POST21
2;0;0;1;2;0;1;5;4;16;5;0;0;17;0;0;0;1;0;0;1;12;167.2;CECP;Media;PRE
1;0;4;0;0;0;10;0;2;51;6;7;2;19;0;0;0;14;15;4;1;15;192.4;CECP;Media;POST21
0;0;0;0;0;0;0;0;14;11;0;0;0;12;0;0;0;5;0;2;0;7;165;CBN;Baja;PRE
0;1;5;0;0;0;0;0;3;6;0;0;3;14;0;0;0;5;0;3;0;7;195;CBN;Baja;POST21
1;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;3;0;0;1;3;169.4;SSO;Baja;PRE
0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;200;SSO;Baja;POST21
1;0;1;0;1;0;0;1;6;55;2;0;0;25;0;0;0;6;0;2;0;5;165;CEC;Media;PRE
1;0;5;0;0;0;3;3;1;40;1;0;0;8;0;0;0;6;9;5;0;8;202.8;CEC;Media;POST21
0;0;2;0;0;0;0;2;3;4;0;0;0;0;0;0;0;4;0;2;0;4;169.4;CBS;Baja;PRE
2;0;2;1;0;0;0;0;1;1;2;0;0;4;0;1;0;4;0;0;0;6;195;CBS;Baja;POST21
