lagartos;zona;transecta;etapa
0;Baja;SSO;2018
0;Baja;SSO;2019
1;Baja;SSO;2021
3;Baja;SNE;2018
0;Baja;SNE;2019
1;Baja;SNE;2021
5;Baja;CBS;2018
1;Baja;CBS;2019
0;Baja;CBS;2021
5;Baja;CBN;2018
0;Baja;CBN;2019
0;Baja;CBN;2021
0;Baja;AG;2018
0;Baja;AG;2019
4;Baja;AG;2021
1;Media;CEBP;2018
0;Media;CEBP;2019
0;Media;CEBP;2021
5;Media;CEMB;2018
1;Media;CEMB;2019
1;Media;CEMB;2021
0;Media;CO;2018
0;Media;CO;2019
0;Media;CO;2021
0;Media;BCH;2018
0;Media;BCH;2019
0;Media;BCH;2021
1;Media;PS;2018
1;Media;PS;2019
0;Media;PS;2021
0;Media;PN;2018
0;Media;PN;2019
0;Media;PN;2021
0;Alta;3M;2018
0;Alta;3M;2019
1;Alta;3M;2021
1;Alta;1C;2018
0;Alta;1C;2019
1;Alta;1C;2021
0;Alta;2C;2018
1;Alta;2C;2019
0;Alta;2C;2021
